[QUOTE_UNIXTIME], [QUOTE_READTIME], [QUOTE_DATE], [QUOTE_TIME_HOURS], [UNDERLYING_LAST], [EXPIRE_DATE], [EXPIRE_UNIX], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_RHO], [C_IV], [C_VOLUME], [C_LAST], [C_SIZE], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_SIZE], [P_LAST], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [P_RHO], [P_IV], [P_VOLUME], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
1672779600, 2023-01-03 16:00, 2023-01-03, 16.000000, 125.010000, 2023-01-06, 1673038800, 3.000000, 0.988920, 0.000500, 0.003760, -0.166160, 0.005020, 4.355300, 0.000000, 79.350000, 33 x 6, 75.200000, 75.350000, 50.000000, 0.000000, 0.010000, 0 x 198, 0.010000, -0.000300, 0.000060, 0.000370, -0.004190, 0.000000, 2.877760, 33.000000, 75.000000, 0.600000
1672779600, 2023-01-03 16:00, 2023-01-03, 16.000000, 125.010000, 2023-01-06, 1673038800, 3.000000, 0.988790, 0.000590, 0.004280, -0.163860, 0.005460, 3.930360, 0.000000, 73.600000, 2 x 2, 70.200000, 70.350000, 55.000000, 0.000000, 0.010000, 0 x 3, 0.010000, -0.000170, 0.000090, 0.000260, -0.004770, -0.000120, 2.590760, 0.000000, 70.000000, 0.560000
1672779600, 2023-01-03 16:00, 2023-01-03, 16.000000, 125.010000, 2023-01-06, 1673038800, 3.000000, 0.989440, 0.000610, 0.003890, -0.131570, 0.006370, 3.414210, 0.000000, 68.600000, 2 x 33, 65.150000, 65.300000, 60.000000, 0.000000, 0.010000, 0 x 16, 0.010000, -0.000670, 0.000080, -0.000100, -0.004020, 0.000000, 2.328960, 1.000000, 65.000000, 0.520000
1672779600, 2023-01-03 16:00, 2023-01-03, 16.000000, 125.010000, 2023-01-06, 1673038800, 3.000000, 0.984550, 0.000910, 0.004830, -0.174700, 0.006660, 3.241740, 0.000000, 65.000000, 34 x 45, 60.150000, 60.450000, 65.000000, 0.000000, 0.010000, 0 x 18, 0.010000, -0.000740, 0.000060, 0.000640, -0.004300, -0.000180, 2.087670, 0.000000, 60.000000, 0.480000
1672779600, 2023-01-03 16:00, 2023-01-03, 16.000000, 125.010000, 2023-01-06, 1673038800, 3.000000, 0.986970, 0.000980, 0.004550, -0.127260, 0.006970, 2.748410, 0.000000, 59.990000, 90 x 36, 55.050000, 55.400000, 70.000000, 0.000000, 0.010000, 0 x 6, 0.010000, -0.000820, 0.000100, 0.000400, -0.003960, -0.000310, 1.864090, 0.000000, 55.000000, 0.440000
1672779600, 2023-01-03 16:00, 2023-01-03, 16.000000, 125.010000, 2023-01-06, 1673038800, 3.000000, 0.987690, 0.001040, 0.003630, -0.110480, 0.007630, 2.391720, 0.000000, 52.650000, 9 x 38, 50.050000, 50.350000, 75.000000, 0.000000, 0.010000, 0 x 18, 0.010000, -0.001020, 0.000180, 0.000160, -0.004470, -0.000490, 1.654600, 0.000000, 50.000000, 0.400000
1672779600, 2023-01-03 16:00, 2023-01-03, 16.000000, 125.010000, 2023-01-06, 1673038800, 3.000000, 0.982340, 0.001530, 0.005700, -0.137860, 0.007610, 2.216720, , 0.000000, 33 x 90, 45.100000, 45.400000, 80.000000, 0.000000, 0.010000, 0 x 30, 0.010000, -0.001150, 0.000130, 0.000790, -0.004530, 0.000000, 1.458300, 3.000000, 45.000000, 0.360000
1672779600, 2023-01-03 16:00, 2023-01-03, 16.000000, 125.010000, 2023-01-06, 1673038800, 3.000000, 0.980610, 0.001940, 0.005720, -0.135590, 0.008760, 1.946580, , 0.000000, 1 x 90, 40.100000, 40.400000, 85.000000, 0.000000, 0.010000, 0 x 6, 0.010000, -0.001060, 0.000260, 0.000540, -0.004710, 0.000000, 1.272890, 0.000000, 40.000000, 0.320000
1672779600, 2023-01-03 16:00, 2023-01-03, 16.000000, 125.010000, 2023-01-06, 1673038800, 3.000000, 0.973930, 0.002700, 0.008030, -0.159960, 0.009160, 1.760250, 0.000000, 38.900000, 16 x 38, 35.150000, 35.450000, 90.000000, 0.000000, 0.010000, 0 x 264, 0.010000, -0.001210, 0.000270, 0.000240, -0.004410, -0.000440, 1.096830, 1.000000, 35.000000, 0.280000
1672779600, 2023-01-03 16:00, 2023-01-03, 16.000000, 125.010000, 2023-01-06, 1673038800, 3.000000, 0.967550, 0.003750, 0.009120, -0.169750, 0.009290, 1.537390, 0.000000, 39.850000, 38 x 119, 30.150000, 30.500000, 95.000000, 0.000000, 0.010000, 0 x 1117, 0.010000, -0.001200, 0.000420, 0.000670, -0.004050, -0.000010, 0.929430, 1565.000000, 30.000000, 0.240000
